index,korean,english
0,null,null
10001,이동,Move
10002,공격,Attack
10003,재장전,Reload
10004,엄폐,Cover
1,자신감,Confidence
2,난사,Fanning
3,난사 숙련,Skillful Fanning
4,정조준,Trueshot
5,데드아이,Deadeye
6,다이너마이트,Dynamite
7,지혈,Hemostasis
8,난사 전문가,Fanning Master
9,가벼운 발놀림,Light Footstep
10,속사,Rapid Fire
11,체력 증가 I,Health Up I
12,체력 증가 II,Health Up II
13,체력 증가 III,Health Up III
14,체력 증가 IV,Health Up IV
15,체력 증가 V,Health Up V
16,2연발,
17,과부하,
18,근접 사격,
19,전술 재장전,
20,린스데일 제일의 총잡이,
21,황금 주사위,
22,체리피커,
23,두 배의 행운,
24,골드 러시,
25,스위트 스팟,
26,장거리 저격,
27,정찰병,
28,정밀 사격,
29,넓은 시야,
